
begin: 2013-07-19 19:11:45.099663 +0900 +0900

      :0(000000000000)--69(000001000101)	200(000011001000)--292(000100100100)	0(000000000000)--1(000000000001)
      :0(000000000000)--69(000001000101)	200(000011001000)--292(000100100100)	0(000000000000)--4(000000000100)
      :0(000000000000)--69(000001000101)	200(000011001000)--292(000100100100)	0(000000000000)--64(000001000000)
      :0(000000000000)--69(000001000101)	200(000011001000)--1060(010000100100)	0(000000000000)--1(000000000001)
      :0(000000000000)--69(000001000101)	200(000011001000)--1060(010000100100)	0(000000000000)--4(000000000100)
      :0(000000000000)--69(000001000101)	200(000011001000)--1060(010000100100)	0(000000000000)--64(000001000000)
      :0(000000000000)--69(000001000101)	200(000011001000)--1540(011000000100)	0(000000000000)--1(000000000001)
      :0(000000000000)--69(000001000101)	200(000011001000)--1540(011000000100)	0(000000000000)--4(000000000100)
      :0(000000000000)--69(000001000101)	200(000011001000)--1540(011000000100)	0(000000000000)--64(000001000000)
      :1280(010100000000)--128(000010000000)	272(000100010000)--1032(010000001000)	0(000000000000)--128(000010000000)
      :1280(010100000000)--128(000010000000)	272(000100010000)--1032(010000001000)	256(000100000000)--0(000000000000)
      :1280(010100000000)--128(000010000000)	272(000100010000)--1032(010000001000)	1024(010000000000)--0(000000000000)
      :1280(010100000000)--128(000010000000)	272(000100010000)--1536(011000000000)	0(000000000000)--128(000010000000)
      :1280(010100000000)--128(000010000000)	272(000100010000)--1536(011000000000)	256(000100000000)--0(000000000000)
      :1280(010100000000)--128(000010000000)	272(000100010000)--1536(011000000000)	1024(010000000000)--0(000000000000)
      :1280(010100000000)--128(000010000000)	272(000100010000)--3072(110000000000)	0(000000000000)--128(000010000000)
      :1280(010100000000)--128(000010000000)	272(000100010000)--3072(110000000000)	256(000100000000)--0(000000000000)
      :1280(010100000000)--128(000010000000)	272(000100010000)--3072(110000000000)	1024(010000000000)--0(000000000000)
      :10(000000001010)--0(000000000000)	51(000000110011)--452(000111000100)	8(000000001000)--0(000000000000)
      :10(000000001010)--0(000000000000)	51(000000110011)--452(000111000100)	2(000000000010)--0(000000000000)
      :10(000000001010)--0(000000000000)	51(000000110011)--452(000111000100)	0(000000000000)--0(000000000000)
      :10(000000001010)--0(000000000000)	51(000000110011)--1412(010110000100)	8(000000001000)--0(000000000000)
      :10(000000001010)--0(000000000000)	51(000000110011)--1412(010110000100)	2(000000000010)--0(000000000000)
      :10(000000001010)--0(000000000000)	51(000000110011)--1412(010110000100)	0(000000000000)--0(000000000000)
      :10(000000001010)--0(000000000000)	51(000000110011)--1672(011010001000)	0(000000000000)--0(000000000000)
      :10(000000001010)--0(000000000000)	51(000000110011)--1672(011010001000)	2(000000000010)--0(000000000000)
      :10(000000001010)--0(000000000000)	51(000000110011)--1672(011010001000)	8(000000001000)--0(000000000000)
    :1290(010100001010)--197(000011000101)	1808(011100010000)--2062(100000001110)	0(000000000000)--193(000011000001)
    :1290(010100001010)--197(000011000101)	1808(011100010000)--2062(100000001110)	1280(010100000000)--4(000000000100)
    :1290(010100001010)--197(000011000101)	1808(011100010000)--2062(100000001110)	10(000000001010)--0(000000000000)
      :0(000000000000)--193(000011000001)	332(000101001100)--688(001010110000)	0(000000000000)--1(000000000001)
      :0(000000000000)--193(000011000001)	332(000101001100)--688(001010110000)	0(000000000000)--128(000010000000)
      :0(000000000000)--193(000011000001)	332(000101001100)--688(001010110000)	0(000000000000)--64(000001000000)
      :0(000000000000)--193(000011000001)	332(000101001100)--2593(101000100001)	0(000000000000)--128(000010000000)
      :0(000000000000)--193(000011000001)	332(000101001100)--2593(101000100001)	0(000000000000)--1(000000000001)
      :0(000000000000)--193(000011000001)	332(000101001100)--2593(101000100001)	0(000000000000)--64(000001000000)
      :0(000000000000)--193(000011000001)	332(000101001100)--3202(110010000010)	0(000000000000)--1(000000000001)
      :0(000000000000)--193(000011000001)	332(000101001100)--3202(110010000010)	0(000000000000)--128(000010000000)
      :0(000000000000)--193(000011000001)	332(000101001100)--3202(110010000010)	0(000000000000)--64(000001000000)
      :1280(010100000000)--4(000000000100)	1545(011000001001)--2464(100110100000)	0(000000000000)--4(000000000100)
      :1280(010100000000)--4(000000000100)	1545(011000001001)--2464(100110100000)	1024(010000000000)--0(000000000000)
      :1280(010100000000)--4(000000000100)	1545(011000001001)--2464(100110100000)	256(000100000000)--0(000000000000)
      :1280(010100000000)--4(000000000100)	1545(011000001001)--2370(100101000010)	0(000000000000)--4(000000000100)
      :1280(010100000000)--4(000000000100)	1545(011000001001)--2370(100101000010)	1024(010000000000)--0(000000000000)
      :1280(010100000000)--4(000000000100)	1545(011000001001)--2370(100101000010)	256(000100000000)--0(000000000000)
      :1280(010100000000)--4(000000000100)	1545(011000001001)--2496(100111000000)	0(000000000000)--4(000000000100)
      :1280(010100000000)--4(000000000100)	1545(011000001001)--2496(100111000000)	1024(010000000000)--0(000000000000)
      :1280(010100000000)--4(000000000100)	1545(011000001001)--2496(100111000000)	256(000100000000)--0(000000000000)
      :10(000000001010)--0(000000000000)	291(000100100011)--1052(010000011100)	0(000000000000)--0(000000000000)
